,country
3506,"Colombia, Mexico, United States"
3537,"United Kingdom, Belgium, Sweden"
3540,"Nigeria, United Kingdom"
3542,"United Kingdom, South Korea"
3545,"United States, Taiwan"
3552,"Netherlands, Belgium, Germany, Jordan"
3558,"France, Canada"
3569,"United Kingdom, France, United States"
3592,"Denmark, Singapore, Canada, United States"
3593,"Denmark, China"
3610,"Malaysia, Singapore, Hong Kong"
3643,"Norway, United States"
3648,"United States, Philippines"
3663,"United States, Greece, Brazil"
3700,"France, United States"
3706,"South Korea, France"
3727,"United States, Australia, Samoa, United Kingdom"
3762,"Canada, South Africa"
3779,"United Kingdom, Italy"
3786,"Germany, United Kingdom"
3821,"China, United Kingdom"
3825,"Argentina, Chile, Peru"
3835,"United States, Russia"
3857,"Uruguay, Germany"
3869,"Turkey, Azerbaijan"
3895,"United States, China, Hong Kong"
3923,"Canada, Germany, France, United States"
3926,"Argentina, United States, Mexico"
3999,"France, United Kingdom, India"
4000,"China, Taiwan"
4012,"Italy, United Kingdom, France"
4014,"Poland, West Germany"
4029,"Germany, United States, Sweden"
4036,"Canada, Spain"
4052,"United Kingdom, France, Belgium, United States"
4060,"France, Japan"
4065,"Netherlands, Germany, Italy, Canada"
4074,"United States, Cambodia"
4080,"United States, Greece"
4097,"United States, China, Colombia"
4110,"United States, Spain, Italy"
4139,"Norway, United Kingdom, France, Ireland"
4147,"United States, Bermuda, Ecuador"
4150,"United Kingdom, Poland"
4168,"China, Canada, United States"
4174,"United States, Spain"
4200,"India, Mexico"
4216,"United Kingdom, West Germany"
4224,"Pakistan, United States"
4251,"Israel, Sweden, Germany, Netherlands"
4265,"Chile, United States, France"
4266,"France, Morocco"
4298,"United Kingdom, Germany"
4321,"Georgia, Germany, France"
4327,"Switzerland, France"
4357,"Turkey, South Korea"
4384,"Italy, India"
4394,"United States, Botswana"
4401,"United States, Colombia, Mexico"
4446,"Chile, Argentina, France, Spain, United States"
4461,"Puerto Rico, United States, Colombia"
4462,"United States, Nigeria"
4477,"Germany, United States, France"
4481,"Spain, Germany, Denmark, United States"
4484,"United Kingdom, United States, Japan"
4501,"Netherlands, United States"
4509,"United States, India, South Korea, China"
4554,"Denmark, Germany, Belgium, United Kingdom, France"
4555,"Denmark, Germany, Belgium, United Kingdom, France, Sweden"
4560,"France, Switzerland, Spain, United States, United Arab Emirates"
4562,"Norway, Sweden"
4568,"United States, Ireland, United Kingdom, India"
4571,"United Kingdom, Singapore"
4577,"Spain, Germany"
4601,"Germany, Czech Republic"
4606,"Denmark, Brazil, France, Portugal, Sweden"
4618,"Brazil, India, China, United States"
4621,"India, Germany, Austria"
4635,"Italy, United States"
4660,"Denmark, France, United States, Sweden"
4662,"Australia, Iraq"
4673,"China, Morocco, Hong Kong"
4678,"Spain, Colombia"
4689,"Australia, United Arab Emirates"
4693,"Canada, United States, Germany"
4701,"France, Belgium, Italy"
4717,"United Kingdom, Thailand"
4727,"Venezuela, Colombia"
4730,"France, Luxembourg, Canada"
4739,"India, Nepal"
4749,"Mexico, Spain"
4784,"Colombia, United States"
4818,"Colombia, Mexico"
4833,"France, Germany, Czech Republic, Belgium"
4837,"Germany, China, United Kingdom"
4854,"Canada, Hungary, United States"
4865,"Pakistan, United Arab Emirates"
4871,"France, United Kingdom"
4874,"Spain, United Kingdom, United States"
4886,"United Kingdom, Kenya"
4902,"United States, Norway, Canada"
4903,"Canada, United States, Ireland"
4908,"Switzerland, Vatican City, Italy, Germany, France"
4913,"Portugal, France, Poland, United States"
4933,"France, Japan, United States"
4937,"United States, New Zealand"
4938,"United States, New Zealand, Japan"
4952,"United States, Netherlands, Japan, France"
4957,"India, Switzerland"
5003,"Canada, India"
5007,"Canada, Japan, United States"
5032,"United States, Morocco"
5033,"United States, Mexico, Spain, Malta"
5066,"Norway, Denmark"
5072,"South Korea, Canada, United States, China"
5092,"Singapore, Japan, France"
5157,"Canada, Mexico, Germany, South Africa"
5159,"United Kingdom, United States, Canada"
5166,"Germany, France, United States, Canada, United Kingdom"
5174,"Peru, Germany, Norway"
5181,"Singapore, Malaysia"
5259,"United States, Uruguay"
5268,"India, Canada"
5274,"Ireland, Canada, United Kingdom, United States"
5299,"United States, Germany, Australia"
5349,Senegal
5374,"Israel, Germany, France"
5384,"Australia, France, Ireland"
5385,"South Africa, Angola"
5391,"Austria, Czech Republic"
5393,"Australia, India"
5440,"United States, United Kingdom, Canada, Japan"
5450,"Sweden, United Kingdom, Finland"
5457,"Hong Kong, Taiwan"
5460,"United States, United Kingdom, Spain, South Korea"
